zvit_date,registration_area,registration_region,registration_settlement,registration_settlement_lng,registration_settlement_lat,total_susp,total_confirm,total_death,total_recover
2020-05-12,Вінницька,Барський район,Антонівка,27.7858708,49.086871,1,0,0,0
2020-05-12,Вінницька,Барський район,Бар,27.6826121,49.0768482,11,9,0,7
2020-05-12,Вінницька,Барський район,Гавришівка,27.6371664,49.0190255,1,1,0,0
2020-05-12,Вінницька,Барський район,Журавлівка,27.5818258,49.0156254,2,0,0,0
2020-05-12,Вінницька,Барський район,Каришків,27.8954782,48.8194829,1,0,0,0
2020-05-12,Вінницька,Барський район,Шипинки,27.785112,48.874233,2,1,0,0
2020-05-12,Вінницька,Бершадський район,Бершадь,29.5331654,48.368954,1,0,0,0
2020-05-12,Вінницька,Бершадський район,Бирлівка,29.4565424,48.3741129,1,0,0,0
2020-05-12,Вінницька,Бершадський район,Устя,29.6728751,48.3786637,1,1,0,0
2020-05-12,Вінницька,Бершадський район,Флорине,29.5293239,48.3454922,1,0,0,0
2020-05-12,Вінницька,Вінницький район,Березина,28.3490426,49.22071,3,2,0,0
2020-05-12,Вінницька,Вінницький район,Вінницькі Хутори,28.5479185,49.2073096,20,19,0,9
2020-05-12,Вінницька,Вінницький район,Вороновиця,28.691632,49.107373,1,1,0,0
2020-05-12,Вінницька,Вінницький район,Гавришівка,28.6361205,49.2413711,3,2,0,2
2020-05-12,Вінницька,Вінницький район,Десна,28.5334772,49.2841835,1,1,0,1
2020-05-12,Вінницька,Вінницький район,Зарванці,28.39042,49.2522998,2,2,0,1
2020-05-12,Вінницька,Вінницький район,Комарів,28.6676064,49.1447447,2,2,0,0
2020-05-12,Вінницька,Вінницький район,Лука-Мелешківська,28.4905099,49.1759683,6,1,0,0
2020-05-12,Вінницька,Вінницький район,Мізяківські Хутори,28.3572441,49.3355128,1,1,0,0
2020-05-12,Вінницька,Вінницький район,Переорки,28.4078332,49.3123573,1,1,0,1
2020-05-12,Вінницька,Вінницький район,Писарівка,28.6059085,49.1889328,3,0,0,0
2020-05-12,Вінницька,Вінницький район,Слобода-Дашковецька,28.2766194,49.2510055,1,1,0,0
2020-05-12,Вінницька,Вінницький район,Сосонка,28.5761497,49.3292335,4,2,0,1
2020-05-12,Вінницька,Вінницький район,Стрижавка,28.4746188,49.3123887,10,4,0,1
2020-05-12,Вінницька,Вінницький район,Щітки,28.5892964,49.198918,2,2,0,0
2020-05-12,Вінницька,Вінницький район,Якушинці,28.3548755,49.2617925,3,2,0,0
2020-05-12,Вінницька,Вінниця,Вінниця,28.4083378,49.2162332,1,0,0,0
2020-05-12,Вінницька,Вінниця,Вінниця,28.4682169,49.233083,457,332,3,157
2020-05-12,Вінницька,Гайсинський район,Гайсин,29.3812035,48.8139473,17,13,0,11
2020-05-12,Вінницька,Гайсинський район,Губник,29.3277246,48.6204595,1,0,0,0
2020-05-12,Вінницька,Жмеринка,Жмеринка,28.1085937,49.0390512,24,13,0,2
2020-05-12,Вінницька,Жмеринський район,Браїлів,28.1576316,49.1055022,8,5,0,2
2020-05-12,Вінницька,Жмеринський район,Жуківці,28.1900378,49.0092667,1,1,0,0
2020-05-12,Вінницька,Жмеринський район,Леляки,28.1278716,49.0695433,3,3,0,2
2020-05-12,Вінницька,Жмеринський район,Мала Жмеринка,28.0968493,49.0134264,1,0,0,0
2020-05-12,Вінницька,Жмеринський район,Слобода-Межирівська,27.8942252,49.1077859,1,0,0,0
2020-05-12,Вінницька,Жмеринський район,Станіславчик,28.1041838,48.9718377,3,2,0,0
2020-05-12,Вінницька,Жмеринський район,Сьомаки,28.1005239,49.1137586,1,1,0,0
2020-05-12,Вінницька,Жмеринський район,Уточнюється,27.9853903,49.00044,2,2,0,1
2020-05-12,Вінницька,Іллінецький район,Іллінці,29.2092738,49.1040007,3,2,0,1
2020-05-12,Вінницька,Іллінецький район,Купчинці,29.4767498,49.0323345,1,0,0,0
2020-05-12,Вінницька,Іллінецький район,Слободище,29.5914399,48.9615302,2,0,0,0
2020-05-12,Вінницька,Калинівський район,Бережани,28.4852268,49.5429506,3,3,0,1
2020-05-12,Вінницька,Калинівський район,Глинськ,28.4663638,49.5743024,4,4,0,4
2020-05-12,Вінницька,Калинівський район,Голубівка,28.7374597,49.5525907,1,0,0,0
2020-05-12,Вінницька,Калинівський район,Іванів,28.3417585,49.4858758,5,5,0,4
2020-05-12,Вінницька,Калинівський район,Калинівка,28.5226562,49.448552,44,44,2,27
2020-05-12,Вінницька,Калинівський район,Кам'яногірка,28.2854444,49.4511569,1,1,0,0
2020-05-12,Вінницька,Калинівський район,Корделівка,28.5449508,49.5213935,1,1,0,1
2020-05-12,Вінницька,Калинівський район,Лісова Лисіївка,28.6065714,49.3652013,1,0,0,0
2020-05-12,Вінницька,Калинівський район,Мирне,28.7238588,49.4565432,1,1,0,1
2020-05-12,Вінницька,Калинівський район,Павлівка,28.4610373,49.4429672,7,7,0,4
2020-05-12,Вінницька,Калинівський район,Пиків,28.2621376,49.5567938,3,3,0,2
2020-05-12,Вінницька,Калинівський район,Сальник,28.5516032,49.4076168,1,1,0,0
2020-05-12,Вінницька,Калинівський район,Шепіївка,28.2608829,49.5916967,1,1,0,1
2020-05-12,Вінницька,Козятин,Козятин,28.8363647,49.7149346,1,0,0,0
2020-05-12,Вінницька,Козятинський район,Вернигородок,28.8916208,49.7831566,1,0,0,0
2020-05-12,Вінницька,Козятинський район,Воскодавинці,28.9741084,49.5367617,1,0,0,0
2020-05-12,Вінницька,Козятинський район,Жежелів,28.6482189,49.7961371,2,0,0,0
2020-05-12,Вінницька,Козятинський район,Збараж,28.8592377,49.4945841,1,1,1,0
2020-05-12,Вінницька,Козятинський район,Іванківці,28.8509796,49.7552084,1,0,0,0
2020-05-12,Вінницька,Козятинський район,Козятин,28.8372721,49.7408352,21,7,0,5
2020-05-12,Вінницька,Козятинський район,Кордишівка,28.8448521,49.6553288,1,0,0,0
2020-05-12,Вінницька,Козятинський район,Медведівка,28.6642465,49.7473077,2,1,0,1
2020-05-12,Вінницька,Козятинський район,Миколаївка,28.7514477,49.5987346,1,0,0,0
2020-05-12,Вінницька,Козятинський район,Титусівка,28.8298052,49.6774862,1,0,0,0
2020-05-12,Вінницька,Козятинський район,Флоріанівка,28.7954324,49.6256809,2,1,0,1
2020-05-12,Вінницька,Крижопільський район,Висока Гребля,28.7005864,48.3978447,1,1,0,0
2020-05-12,Вінницька,Крижопільський район,Гарячківська,28.7517946,48.3296399,1,1,0,1
2020-05-12,Вінницька,Крижопільський район,Голубече,28.8395621,48.3762491,2,1,0,1
2020-05-12,Вінницька,Крижопільський район,Крижопіль,28.8673367,48.3849493,2,0,0,0
2020-05-12,Вінницька,Ладижин,Ладижин,29.2476275,48.6838051,4,2,0,0
2020-05-12,Вінницька,Липовецький район,Лукашівка,28.9393993,49.2458532,1,1,0,0
2020-05-12,Вінницька,Липовецький район,Приборівка,28.7177793,49.3089259,1,1,0,0
2020-05-12,Вінницька,Липовецький район,Сиваківці,28.6661383,49.327038,4,4,0,2
2020-05-12,Вінницька,Липовецький район,Турбів,28.7228609,49.3448284,2,1,0,0
2020-05-12,Вінницька,Літинський район,Бруслинів,28.1960402,49.4197095,2,1,0,0
2020-05-12,Вінницька,Літинський район,Дашківці,28.2621134,49.3030095,1,1,0,0
2020-05-12,Вінницька,Літинський район,Журавне,28.1800403,49.5067141,1,0,0,0
2020-05-12,Вінницька,Літинський район,Матяшівка,28.2489367,49.470514,2,2,0,0
2020-05-12,Вінницька,Літинський район,Селище,28.0961845,49.3359443,1,0,0,0
2020-05-12,Вінницька,Літинський район,Уладівка,28.2276245,49.4996345,11,9,0,1
