"zvit_date","registration_area","priority_hosp_area","edrpou_hosp","legal_entity_name_hosp","legal_entity_lat","legal_entity_lng","person_gender","person_age_group","add_conditions","new_susp","new_confirm","active_confirm","new_death","new_recover"
"2020-04-15","Вінницька","Вінницька","01982488","КНП БАРСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ БАРСЬКОЇ РАЙОННОЇ РАДИ","49.07693882","27.68346628","Жіноча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982502","КНП ВІННИЦЬКА ЦЕНТРАЛЬНА РАЙОННА КЛІНІЧНА ЛІКАРНЯ ВІННИЦЬКОЇ РАЙОННОЇ РАДИ","49.23516928","28.41473579","Жіноча","18-39","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982502","КНП ВІННИЦЬКА ЦЕНТРАЛЬНА РАЙОННА КЛІНІЧНА ЛІКАРНЯ ВІННИЦЬКОЇ РАЙОННОЇ РАДИ","49.23516928","28.41473579","Жіноча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982502","КНП ВІННИЦЬКА ЦЕНТРАЛЬНА РАЙОННА КЛІНІЧНА ЛІКАРНЯ ВІННИЦЬКОЇ РАЙОННОЇ РАДИ","49.23516928","28.41473579","Жіноча","40-64","Так","1","0","0","0","0"
"2020-04-15","Вінницька","Вінницька","01982502","КНП ВІННИЦЬКА ЦЕНТРАЛЬНА РАЙОННА КЛІНІЧНА ЛІКАРНЯ ВІННИЦЬКОЇ РАЙОННОЇ РАДИ","49.23516928","28.41473579","Чоловіча","40-64","Так","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982531","КНП ІЛЛІНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ІЛЛІНЕЦЬКОЇ РАЙОННОЇ РАДИ ","49.115688","29.19603","Чоловіча","40-64","Так","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982554","КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КАЛИНІВСЬКОЇ РАЙОННОЇ РАДИ","49.4559744","28.5117364","Жіноча","18-39","Так","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982554","КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КАЛИНІВСЬКОЇ РАЙОННОЇ РАДИ","49.4559744","28.5117364","Жіноча","40-64","Так","0","0","2","0","0"
"2020-04-15","Вінницька","Вінницька","01982554","КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КАЛИНІВСЬКОЇ РАЙОННОЇ РАДИ","49.4559744","28.5117364","Жіноча","65+","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982554","КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КАЛИНІВСЬКОЇ РАЙОННОЇ РАДИ","49.4559744","28.5117364","Жіноча","65+","Так","0","0","2","0","0"
"2020-04-15","Вінницька","Вінницька","01982591","КНП МОГИЛІВ-ПОДІЛЬСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ МОГИЛІВ-ПОДІЛЬСЬКОЇ МІСЬКОЇ РАДИ","48.45797183","27.77135047","Чоловіча","0-5","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982591","КНП МОГИЛІВ-ПОДІЛЬСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ МОГИЛІВ-ПОДІЛЬСЬКОЇ МІСЬКОЇ РАДИ","48.45797183","27.77135047","Чоловіча","40-64","Ні","0","0","2","0","0"
"2020-04-15","Вінницька","Вінницька","01982666","КНП ТРОСТЯНЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","48.51712671","29.24126219","Жіноча","65+","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982672","КНП ТУЛЬЧИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ТУЛЬЧИНСЬКОЇ РАЙОННОЇ РАДИ","48.67485842","28.84152629","Жіноча","18-39","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982695","КНП ХМІЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ХМІЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ","49.54440739","27.94350477","Жіноча","18-39","Ні","1","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982695","КНП ХМІЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ХМІЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ","49.54440739","27.94350477","Жіноча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982695","КНП ХМІЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ХМІЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ","49.54440739","27.94350477","Жіноча","40-64","Так","1","1","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982695","КНП ХМІЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ХМІЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ","49.54440739","27.94350477","Чоловіча","18-39","Ні","0","1","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982695","КНП ХМІЛЬНИЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ХМІЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ","49.54440739","27.94350477","Чоловіча","65+","Так","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","01982726","КНП ЯМПІЛЬСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ЯМПІЛЬСЬКОЇ РАЙОННОЇ РАДИ","48.24768588","28.27857281","Чоловіча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","05484126","КНП ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","49.23634732","28.41400293","Жіноча","18-39","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","05484126","КНП ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","49.23634732","28.41400293","Жіноча","40-64","Ні","1","0","4","0","0"
"2020-04-15","Вінницька","Вінницька","05484126","КНП ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","49.23634732","28.41400293","Жіноча","40-64","Так","0","0","3","0","0"
"2020-04-15","Вінницька","Вінницька","05484126","КНП ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","49.23634732","28.41400293","Чоловіча","06-17","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","05484126","КНП ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","49.23634732","28.41400293","Чоловіча","18-39","Ні","0","0","3","0","0"
"2020-04-15","Вінницька","Вінницька","05484126","КНП ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","49.23634732","28.41400293","Чоловіча","40-64","Ні","0","0","6","0","0"
"2020-04-15","Вінницька","Вінницька","05484126","КНП ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","49.23634732","28.41400293","Чоловіча","40-64","Так","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","05484126","КНП ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1","49.23634732","28.41400293","Чоловіча","65+","Так","1","0","3","0","0"
"2020-04-15","Вінницька","Вінницька","05484451","КНП ВІННИЦЬКИЙ МІСЬКИЙ КЛІНІЧНИЙ ПОЛОГОВИЙ БУДИНОК №2","49.239396","28.49527","Жіноча","18-39","Так","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","07816153","ВІЙСЬКОВО-МЕДИЧНИЙ КЛІНІЧНИЙ ЦЕНТР ЦЕНТРАЛЬНОГО РЕГІОНУ","49.220265","28.456245","Чоловіча","18-39","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","34004453","КНП ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ДИТЯЧА ІНФЕКЦІЙНА ЛІКАРНЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ","49.25005321","28.47683918","Жіноча","18-39","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","34004453","КНП ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ДИТЯЧА ІНФЕКЦІЙНА ЛІКАРНЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ","49.25005321","28.47683918","Жіноча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","34004453","КНП ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ДИТЯЧА ІНФЕКЦІЙНА ЛІКАРНЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ","49.25005321","28.47683918","Чоловіча","0-5","Ні","0","0","2","0","0"
"2020-04-15","Вінницька","Вінницька","35814729","КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","49.71328429","28.83413007","Жіноча","18-39","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","35814729","КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","49.71328429","28.83413007","Жіноча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","35814729","КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ КОЗЯТИНСЬКОЇ РАЙОННОЇ РАДИ","49.71328429","28.83413007","Чоловіча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","36205651","КНП ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ РАЙОННОЇ РАДИ","48.81234943","29.3906259","Жіноча","0-5","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","36205651","КНП ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ РАЙОННОЇ РАДИ","48.81234943","29.3906259","Жіноча","18-39","Ні","0","0","3","0","0"
"2020-04-15","Вінницька","Вінницька","36205651","КНП ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ РАЙОННОЇ РАДИ","48.81234943","29.3906259","Жіноча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","36205651","КНП ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ РАЙОННОЇ РАДИ","48.81234943","29.3906259","Жіноча","40-64","Так","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","36205651","КНП ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ РАЙОННОЇ РАДИ","48.81234943","29.3906259","Чоловіча","0-5","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","36205651","КНП ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ РАЙОННОЇ РАДИ","48.81234943","29.3906259","Чоловіча","06-17","Ні","0","0","2","0","0"
"2020-04-15","Вінницька","Вінницька","36205651","КНП ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ РАЙОННОЇ РАДИ","48.81234943","29.3906259","Чоловіча","18-39","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","36205651","КНП ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ РАЙОННОЇ РАДИ","48.81234943","29.3906259","Чоловіча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","36331552","КНП ТОМАШПІЛЬСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ","48.55301503","28.5141118","Чоловіча","65+","Так","1","0","0","0","0"
"2020-04-15","Вінницька","Вінницька","37261811","КНП ЖМЕРИНСЬКИЙ РАЙОННИЙ МЕДИЧНИЙ ЦПМСД ЖМЕРИНСЬКОЇ РАЙОННОЇ РАДИ","49.06053621","28.12012177","Жіноча","65+","Так","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","41758238","ЛАДИЖИНСЬКА МІСЬКА ЛІКАРНЯ ЛАДИЖИНСЬКОЇ МІСЬКОЇ РАДИ","48.67913113","29.22762567","Жіноча","40-64","Ні","0","0","1","0","0"
"2020-04-15","Вінницька","Вінницька","Самоізоляція",NULL,NULL,NULL,"Жіноча","0-5","Ні","1","1","4","0","0"
"2020-04-15","Вінницька","Вінницька","Самоізоляція",NULL,NULL,NULL,"Жіноча","06-17","Ні","2","2","3","0","0"
"2020-04-15","Вінницька","Вінницька","Самоізоляція",NULL,NULL,NULL,"Жіноча","18-39","Ні","5","5","44","0","0"
"2020-04-15","Вінницька","Вінницька","Самоізоляція",NULL,NULL,NULL,"Жіноча","18-39","Так","1","1","2","0","0"
"2020-04-15","Вінницька","Вінницька","Самоізоляція",NULL,NULL,NULL,"Жіноча","40-64","Ні","12","11","61","0","0"
"2020-04-15","Вінницька","Вінницька","Самоізоляція",NULL,NULL,NULL,"Жіноча","40-64","Так","3","3","9","0","0"
